54.82,56.54,58.38,60.34,62.38,64.49,66.68,68.93,71.29,73.72,76.24,78.84,81.52,84.26,87.08,89.97,92.78,95.85,99.03,102.31,105.72,109.25,112.92,116.72,120.66,124.72,128.93,133.27,137.76,142.37,147.12,152.05,157.14,162.4,167.82,173.41,179.19,185.15,191.3,197.62,204.14,210.87,217.79,224.93,232.29,239.86,247.66,255.7,263.97,272.47,281.21,290.21,299.43,308.91,318.63,328.6,338.81,349.26,359.96,370.89,382.05,393.44,405.05,416.88,428.92,441.14,453.57,466.16,478.94,491.87,504.94,518.15,531.48,544.91,558.45,572.06,585.76,599.53,613.38,627.29,641.29,659.95,678.39,696.64,714.7,732.58
56.54,58.38,60.34,62.38,64.49,66.68,68.95,71.29,73.73,76.25,78.86,81.54,84.3,87.12,90.01,92.99,95.9,99.08,102.37,105.78,109.32,112.99,116.79,120.73,124.81,129.02,133.36,137.85,142.48,147.25,152.17,157.27,162.53,167.97,173.58,179.36,185.33,191.49,197.85,204.38,211.11,218.06,225.22,232.59,240.19,248.02,256.08,264.38,272.92,281.71,290.73,300.02,309.54,319.32,329.35,339.64,350.16,360.94,371.96,383.22,394.72,406.45,418.39,430.56,442.94,455.5,468.26,481.19,494.29,507.55,520.94,534.46,548.08,561.81,575.63,589.52,603.47,617.5,631.58,645.73,659.95,678.39,696.64,714.7,732.58,750.28
58.38,60.34,62.38,64.49,66.68,68.95,71.31,73.74,76.27,78.87,81.56,84.32,87.15,90.04,93.03,96.11,99.13,102.42,105.84,109.38,113.05,116.85,120.8,124.88,129.1,133.45,137.93,142.57,147.35,152.29,157.38,162.65,168.09,173.71,179.52,185.5,191.67,198.02,204.58,211.33,218.29,225.47,232.85,240.48,248.33,256.41,264.74,273.31,282.13,291.19,300.51,310.09,319.92,330.01,340.35,350.95,361.79,372.89,384.24,395.83,407.66,419.72,431.99,444.49,457.19,470.08,483.16,496.41,509.82,523.38,537.06,550.86,564.76,578.75,592.81,606.94,621.12,635.36,649.65,663.98,678.39,696.64,714.7,732.58,750.28,767.78
60.34,62.38,64.49,66.68,68.95,71.31,73.76,76.27,78.89,81.58,84.34,87.17,90.08,93.06,96.15,99.34,102.47,105.89,109.44,113.1,116.92,120.86,124.95,129.17,133.53,138.01,142.64,147.43,152.39,157.49,162.76,168.21,173.83,179.65,185.64,191.82,198.19,204.75,211.52,218.49,225.67,233.09,240.72,248.59,256.7,265.05,273.65,282.49,291.6,300.95,310.56,320.44,330.57,340.97,351.62,362.54,373.7,385.12,396.8,408.71,420.86,433.24,445.84,458.66,471.68,484.88,498.27,511.82,525.52,539.35,553.31,567.36,581.5,595.73,610.01,624.34,638.72,653.13,667.59,682.08,696.64,714.7,732.58,750.28,767.78,785.12
62.38,64.49,66.68,68.95,71.31,73.76,76.29,78.89,81.59,84.36,87.2,90.1,93.1,96.19,99.38,102.67,105.93,109.48,113.16,116.96,120.92,125,129.23,133.58,138.09,142.72,147.5,152.46,157.58,162.86,168.31,173.94,179.76,185.77,191.96,198.33,204.9,211.68,218.67,225.87,233.28,240.94,248.82,256.95,265.32,273.94,282.81,291.94,301.33,310.98,320.89,331.06,341.5,352.21,363.17,374.41,385.89,397.63,409.63,421.86,434.33,447.03,459.94,473.07,486.39,499.89,513.57,527.4,541.37,555.46,569.66,583.94,598.3,612.73,627.2,641.71,656.24,670.81,685.4,700.02,714.7,732.58,750.28,767.78,785.12,802.33
64.49,66.68,68.95,71.31,73.76,76.29,78.92,81.6,84.37,87.21,90.13,93.13,96.22,99.41,102.72,106.13,109.52,113.19,117.01,120.96,125.06,129.28,133.65,138.13,142.79,147.57,152.52,157.65,162.94,168.4,174.04,179.86,185.87,192.07,198.46,205.04,211.82,218.81,226.03,233.47,241.12,249.03,257.17,265.56,274.2,283.09,292.24,301.65,311.33,321.27,331.48,341.97,352.71,363.73,375.01,386.56,398.36,410.42,422.73,435.27,448.05,461.06,474.28,487.7,501.31,515.1,529.04,543.13,557.34,571.66,586.08,600.58,615.12,629.72,644.36,659.01,673.68,688.36,703.06,717.8,732.58,750.28,767.78,785.12,802.33,819.45
66.68,68.95,71.31,73.76,76.3,78.92,81.62,84.38,87.23,90.14,93.15,96.25,99.45,102.75,106.17,109.71,113.23,117.05,121.01,125.1,129.33,133.69,138.2,142.83,147.64,152.58,157.71,163.01,168.48,174.12,179.94,185.97,192.17,198.57,205.16,211.95,218.95,226.17,233.62,241.29,249.2,257.36,265.76,274.41,283.33,292.49,301.93,311.63,321.61,331.85,342.36,353.15,364.21,375.53,387.12,398.98,411.1,423.47,436.08,448.94,462.02,475.32,488.83,502.54,516.42,530.46,544.66,558.98,573.42,587.95,602.56,617.23,631.94,646.69,661.45,676.22,691,705.78,720.57,735.39,750.28,767.78,785.12,802.33,819.45,836.58
68.95,71.31,73.76,76.3,78.92,81.62,84.4,87.23,90.16,93.17,96.27,99.47,102.78,106.2,109.74,113.41,117.08,121.04,125.14,129.37,133.74,138.24,142.89,147.67,152.64,157.76,163.06,168.54,174.19,180.02,186.04,192.26,198.66,205.26,212.05,219.06,226.29,233.74,241.43,249.35,257.51,265.93,274.6,283.52,292.72,302.17,311.89,321.89,332.16,342.69,353.51,364.61,375.97,387.61,399.51,411.68,424.1,436.77,449.69,462.84,476.21,489.8,503.58,517.55,531.69,545.97,560.39,574.93,589.56,604.28,619.05,633.87,648.72,663.58,678.45,693.31,708.17,723.03,737.9,752.8,767.78,785.12,802.33,819.45,836.58,853.85
71.31,73.76,76.3,78.92,81.62,84.4,87.26,90.17,93.18,96.29,99.5,102.8,106.23,109.77,113.44,117.25,121.07,125.17,129.41,133.77,138.28,142.92,147.73,152.68,157.82,163.11,168.59,174.25,180.09,186.12,192.33,198.74,205.33,212.14,219.16,226.39,233.85,241.54,249.48,257.65,266.07,274.75,283.69,292.9,302.37,312.11,322.12,332.41,342.98,353.82,364.94,376.34,388.01,399.95,412.15,424.63,437.35,450.32,463.53,476.96,490.61,504.46,518.5,532.72,547.09,561.59,576.21,590.94,605.74,620.61,635.52,650.46,665.42,680.37,695.32,710.25,725.17,740.09,755.03,770.03,785.12,802.33,819.45,836.58,853.85,871.46
73.76,76.3,78.92,81.62,84.41,87.26,90.19,93.19,96.3,99.51,102.83,106.25,109.79,113.46,117.27,121.22,125.2,129.43,133.81,138.31,142.96,147.75,152.72,157.85,163.16,168.63,174.29,180.14,186.18,192.39,198.8,205.41,212.21,219.24,226.48,233.94,241.64,249.58,257.76,266.2,274.88,283.83,293.05,302.53,312.29,322.31,332.62,343.21,354.07,365.21,376.64,388.34,400.31,412.55,425.06,437.82,450.84,464.09,477.58,491.28,505.19,519.29,533.57,548.01,562.58,577.28,592.08,606.96,621.91,636.91,651.93,666.97,682,697.02,712.02,727.01,741.98,756.96,771.98,787.08,802.33,819.45,836.58,853.85,871.46,889.7
76.3,78.92,81.62,84.41,87.26,90.19,93.21,96.31,99.53,102.84,106.27,109.81,113.49,117.3,121.25,125.34,129.46,133.83,138.34,142.98,147.79,152.74,157.88,163.18,168.67,174.33,180.18,186.22,192.45,198.86,205.46,212.28,219.3,226.55,234.02,241.72,249.66,257.85,266.29,274.99,283.95,293.17,302.66,312.43,322.47,332.79,343.39,354.28,365.44,376.88,388.6,400.6,412.87,425.41,438.2,451.25,464.55,478.07,491.82,505.78,519.93,534.26,548.75,563.38,578.14,593.01,607.96,622.97,638.04,653.13,668.24,683.34,698.42,713.49,728.54,743.56,758.58,773.63,788.74,803.99,819.45,836.58,853.85,871.46,889.7,909
