60.41,62.34,64.38,66.53,68.78,71.11,73.53,76.04,78.62,81.3,84.06,86.89,89.81,92.78,95.81,98.89,101.96,105.15,144.66,149.13,153.75,158.54,163.52,168.69,174.06,179.61,185.35,191.27,197.39,203.69,210.18,216.87,223.76,230.85,238.15,245.68,253.44,261.42,269.61,278.02,286.65,295.47,304.47,313.66,323.03,332.56,342.25,352.09,362.07,372.18,382.41,392.74,403.16,413.65,424.22,434.83,445.48,456.15,466.83,477.52,488.19,498.83,509.45,520.02,530.54,541,551.41,561.76,572.04,582.27,592.45,602.53,612.53,622.43,632.25,641.99,651.67,661.28,670.87,680.44,690.03,707.96,725.01,741.37,757.1,772.29
62.34,64.38,66.53,68.78,71.12,73.54,76.05,78.64,81.32,84.09,86.93,89.84,92.83,95.87,98.97,102.1,105.25,108.52,149.3,153.95,158.75,163.75,168.93,174.31,179.88,185.63,191.56,197.68,204.01,210.52,217.23,224.14,231.25,238.58,246.14,253.93,261.96,270.22,278.7,287.38,296.28,305.37,314.66,324.12,333.77,343.58,353.56,363.68,373.94,384.32,394.83,405.43,416.12,426.88,437.71,448.58,459.48,470.4,481.33,492.25,503.15,514.02,524.85,535.63,546.36,557.03,567.63,578.16,588.63,599.04,609.36,619.57,629.68,639.7,649.62,659.46,669.22,678.93,688.6,698.27,707.96,725.01,741.37,757.1,772.29,787
64.38,66.53,68.78,71.12,73.54,76.05,78.65,81.33,84.1,86.96,89.88,92.87,95.92,99.02,102.18,105.38,108.62,112,154.12,158.94,163.94,169.15,174.53,180.11,185.87,191.82,197.95,204.28,210.81,217.54,224.47,231.6,238.95,246.54,254.37,262.44,270.74,279.28,288.03,296.99,306.16,315.52,325.08,334.82,344.75,354.83,365.08,375.47,386,396.65,407.42,418.28,429.22,440.24,451.31,462.41,473.55,484.69,495.83,506.97,518.06,529.13,540.14,551.1,562,572.83,583.58,594.27,604.89,615.4,625.8,636.09,646.28,656.36,666.34,676.24,686.05,695.81,705.54,715.26,725.01,741.37,757.1,772.29,787,801.29
66.53,68.78,71.12,73.54,76.06,78.65,81.34,84.12,86.98,89.92,92.91,95.96,99.08,102.24,105.47,108.76,112.1,115.6,159.11,164.13,169.33,174.74,180.32,186.09,192.05,198.19,204.53,211.07,217.81,224.76,231.91,239.28,246.89,254.75,262.85,271.19,279.77,288.59,297.6,306.83,316.28,325.91,335.74,345.76,355.95,366.3,376.82,387.47,398.26,409.17,420.19,431.29,442.47,453.71,465.01,476.33,487.67,499.01,510.35,521.66,532.93,544.16,555.32,566.43,577.46,588.42,599.3,610.1,620.79,631.37,641.83,652.16,662.39,672.5,682.51,692.43,702.27,712.05,721.8,731.56,741.37,757.1,772.29,787,801.29,815.23
68.78,71.12,73.54,76.06,78.66,81.35,84.13,87,89.93,92.95,96,99.12,102.3,105.53,108.84,112.23,115.7,119.34,164.28,169.51,174.91,180.51,186.28,192.25,198.4,204.75,211.31,218.05,225.01,232.18,239.57,247.2,255.08,263.21,271.59,280.2,289.06,298.14,307.43,316.93,326.64,336.54,346.64,356.92,367.38,377.99,388.76,399.67,410.7,421.85,433.1,444.43,455.83,467.29,478.79,490.3,501.83,513.34,524.84,536.31,547.72,559.08,570.37,581.6,592.74,603.79,614.76,625.62,636.35,646.96,657.44,667.79,678.02,688.14,698.15,708.07,717.91,727.7,737.47,747.25,757.1,772.29,787,801.29,815.23,828.92
71.12,73.54,76.06,78.66,81.35,84.13,87,89.95,92.96,96.04,99.16,102.34,105.59,108.9,112.31,115.83,119.43,123.23,169.65,175.07,180.67,186.46,192.42,198.59,204.95,211.51,218.27,225.23,232.41,239.82,247.46,255.37,263.52,271.92,280.58,289.47,298.59,307.94,317.49,327.26,337.23,347.4,357.76,368.3,379.01,389.88,400.89,412.04,423.3,434.68,446.15,457.69,469.29,480.94,492.62,504.3,515.99,527.65,539.29,550.88,562.41,573.88,585.27,596.57,607.79,618.92,629.92,640.79,651.54,662.15,672.63,682.97,693.19,703.28,713.28,723.18,733,742.79,752.57,762.39,772.29,787,801.29,815.23,828.92,842.45
73.54,76.06,78.66,81.35,84.14,87.01,89.96,92.98,96.06,99.2,102.38,105.63,108.96,112.37,115.91,119.56,123.31,127.25,175.21,180.83,186.61,192.59,198.75,205.12,211.69,218.46,225.43,232.61,240.03,247.69,255.61,263.79,272.22,280.9,289.82,298.98,308.36,317.97,327.79,337.82,348.06,358.48,369.09,379.88,390.84,401.94,413.19,424.56,436.05,447.63,459.3,471.03,482.81,494.63,506.47,518.3,530.12,541.91,553.66,565.34,576.97,588.51,599.96,611.33,622.59,633.73,644.74,655.61,666.34,676.93,687.38,697.69,707.87,717.94,727.9,737.77,747.58,757.36,767.16,777.02,787,801.29,815.23,828.92,842.45,855.97
76.06,78.66,81.35,84.14,87.01,89.96,92.99,96.08,99.22,102.42,105.67,109,112.43,115.96,119.63,123.43,127.33,131.43,180.95,186.75,192.73,198.91,205.27,211.85,218.62,225.6,232.79,240.21,247.88,255.82,264.01,272.46,281.17,290.12,299.31,308.73,318.37,328.25,338.32,348.61,359.1,369.77,380.63,391.65,402.84,414.17,425.63,437.22,448.9,460.68,472.52,484.43,496.37,508.33,520.3,532.25,544.18,556.06,567.9,579.66,591.34,602.93,614.42,625.82,637.08,648.21,659.2,670.04,680.73,691.28,701.68,711.94,722.08,732.1,742.02,751.86,761.66,771.44,781.27,791.19,801.29,815.23,828.92,842.45,855.97,869.66
78.66,81.35,84.14,87.02,89.97,92.99,96.08,99.24,102.43,105.71,109.05,112.48,116.02,119.68,123.49,127.44,131.49,135.75,186.86,192.86,199.03,205.41,211.98,218.76,225.74,232.94,240.37,248.05,255.99,264.2,272.67,281.39,290.37,299.59,309.03,318.71,328.61,338.74,349.07,359.61,370.34,381.25,392.34,403.59,415,426.54,438.2,449.98,461.84,473.79,485.79,497.84,509.91,522,534.07,546.12,558.13,570.08,581.97,593.77,605.49,617.1,628.61,639.98,651.22,662.31,673.26,684.05,694.68,705.17,715.51,725.71,735.79,745.76,755.64,765.46,775.25,785.06,794.95,804.97,815.23,828.92,842.45,855.97,869.66,883.77
81.35,84.14,87.02,89.97,93,96.09,99.24,102.46,105.73,109.08,112.52,116.06,119.73,123.54,127.5,131.59,135.8,140.2,192.95,199.14,205.52,212.1,218.88,225.86,233.06,240.5,248.18,256.13,264.35,272.83,281.58,290.58,299.81,309.28,318.99,328.92,339.07,349.45,360.02,370.8,381.76,392.9,404.21,415.68,427.28,439.02,450.87,462.81,474.83,486.92,499.06,511.23,523.41,535.59,547.75,559.86,571.93,583.92,595.83,607.65,619.37,630.98,642.45,653.79,664.98,676.01,686.89,697.6,708.17,718.58,728.85,738.98,749,758.92,768.77,778.57,788.38,798.25,808.23,818.42,828.92,842.45,855.97,869.66,883.77,898.64
