0.11,0.13,0.15,0.16,0.16,0.17,0.18,0.19,0.19,0.2,0.21,0.22,0.22,0.23,0.23,0.23,0.24,0.24,0.25,0.25,0.27,0.28,0.3,0.31,0.33,0.34,0.35,0.37,0.38,0.4,0.41,0.43,0.45,0.47,0.49,0.51,0.53,0.55,0.58,0.6,0.63,0.65,0.68,0.71,0.74,0.77,0.81,0.84,0.88,0.92,0.96,1,1.05,1.09,1.14,1.19,1.25,1.3,1.36,1.43,1.49,1.56,1.63,1.7,1.78,1.86,1.95,2.03,2.13,2.22,2.32,2.42,2.52,2.63,2.73,2.84,2.96,3.07,3.2
0.4,0.45,0.48,0.51,0.54,0.56,0.58,0.61,0.63,0.66,0.68,0.7,0.72,0.73,0.74,0.75,0.76,0.78,0.8,0.83,0.87,0.92,0.96,1.01,1.06,1.1,1.15,1.19,1.24,1.29,1.34,1.39,1.45,1.51,1.57,1.64,1.71,1.79,1.87,1.95,2.03,2.12,2.21,2.3,2.4,2.5,2.61,2.72,2.84,2.96,3.09,3.23,3.37,3.52,3.67,3.84,4.01,4.19,4.38,4.57,4.78,4.99,5.21,5.44,5.68,5.93,6.19,6.45,6.73,7.02,7.31,7.61,7.91,8.21,8.53,8.85,9.18,9.51,9.85
0.86,0.95,1.02,1.08,1.13,1.18,1.23,1.27,1.32,1.37,1.42,1.45,1.49,1.51,1.53,1.55,1.58,1.62,1.68,1.75,1.83,1.93,2.02,2.12,2.21,2.31,2.4,2.49,2.59,2.69,2.8,2.91,3.03,3.16,3.29,3.44,3.59,3.74,3.91,4.07,4.24,4.42,4.61,4.8,5,5.21,5.44,5.67,5.91,6.17,6.43,6.72,7.01,7.31,7.64,7.97,8.32,8.69,9.07,9.47,9.88,10.31,10.76,11.22,11.7,12.19,12.71,13.24,13.79,14.35,14.91,15.48,16.06,16.65,17.26,17.87,18.49,19.12,19.76
1.42,1.55,1.65,1.74,1.82,1.89,1.97,2.04,2.12,2.19,2.26,2.31,2.36,2.39,2.43,2.47,2.52,2.6,2.69,2.81,2.95,3.1,3.25,3.39,3.54,3.68,3.83,3.98,4.14,4.3,4.47,4.65,4.84,5.05,5.27,5.5,5.74,5.99,6.24,6.5,6.77,7.05,7.35,7.66,7.98,8.31,8.66,9.03,9.41,9.82,10.24,10.68,11.14,11.62,12.13,12.65,13.2,13.77,14.37,14.98,15.62,16.29,16.98,17.69,18.42,19.18,19.96,20.77,21.59,22.42,23.26,24.11,24.97,25.84,26.72,27.61,28.52,29.43,30.36
2.27,2.45,2.6,2.73,2.85,2.96,3.08,3.2,3.31,3.41,3.5,3.58,3.64,3.7,3.76,3.83,3.93,4.06,4.23,4.42,4.63,4.85,5.08,5.3,5.53,5.75,5.98,6.21,6.46,6.71,6.98,7.26,7.56,7.89,8.23,8.59,8.96,9.34,9.73,10.13,10.55,10.99,11.44,11.92,12.42,12.94,13.48,14.05,14.64,15.26,15.91,16.59,17.29,18.03,18.81,19.61,20.44,21.31,22.21,23.15,24.12,25.12,26.15,27.22,28.32,29.45,30.61,31.79,32.99,34.21,35.43,36.66,37.9,39.16,40.42,41.7,42.98,44.28,45.59
3.34,3.58,3.78,3.96,4.13,4.3,4.46,4.62,4.77,4.91,5.03,5.13,5.22,5.31,5.41,5.53,5.7,5.9,6.15,6.42,6.73,7.04,7.36,7.67,7.99,8.31,8.64,8.98,9.33,9.69,10.09,10.5,10.95,11.42,11.91,12.42,12.95,13.49,14.05,14.63,15.24,15.86,16.51,17.19,17.9,18.65,19.42,20.23,21.08,21.96,22.89,23.85,24.86,25.91,27,28.14,29.31,30.54,31.81,33.12,34.47,35.87,37.3,38.78,40.29,41.85,43.43,45.04,46.67,48.31,49.96,51.61,53.27,54.95,56.63,58.32,60.02,61.72,63.44
4.64,4.95,5.21,5.45,5.69,5.91,6.12,6.33,6.52,6.69,6.84,6.98,7.1,7.24,7.39,7.59,7.83,8.13,8.47,8.85,9.25,9.67,10.1,10.52,10.95,11.39,11.83,12.3,12.78,13.29,13.84,14.41,15.02,15.67,16.33,17.03,17.74,18.48,19.24,20.03,20.85,21.7,22.58,23.51,24.47,25.48,26.53,27.62,28.77,29.96,31.21,32.51,33.86,35.27,36.74,38.26,39.83,41.46,43.14,44.88,46.67,48.51,50.39,52.33,54.31,56.33,58.37,60.44,62.53,64.63,66.73,68.84,70.94,73.06,75.17,77.29,79.42,81.55,83.7
5.94,6.31,6.63,6.93,7.21,7.48,7.74,7.98,8.2,8.4,8.59,8.76,8.93,9.12,9.35,9.62,9.95,10.34,10.76,11.24,11.74,12.26,12.79,13.32,13.86,14.4,14.97,15.55,16.17,16.82,17.53,18.26,19.03,19.84,20.67,21.54,22.43,23.35,24.31,25.29,26.32,27.39,28.5,29.65,30.86,32.12,33.43,34.8,36.23,37.72,39.26,40.88,42.56,44.3,46.11,47.98,49.91,51.92,53.98,56.1,58.27,60.5,62.78,65.12,67.49,69.89,72.33,74.78,77.25,79.72,82.19,84.66,87.12,89.58,92.04,94.5,96.96,99.42,101.9
7.7,8.16,8.56,8.93,9.28,9.61,9.92,10.21,10.47,10.71,10.95,11.17,11.42,11.69,12.01,12.38,12.83,13.33,13.88,14.48,15.11,15.77,16.44,17.11,17.79,18.49,19.22,19.98,20.78,21.63,22.54,23.47,24.46,25.49,26.55,27.65,28.79,29.96,31.17,32.42,33.73,35.09,36.5,37.97,39.5,41.09,42.76,44.49,46.29,48.17,50.12,52.16,54.26,56.45,58.71,61.05,63.46,65.94,68.49,71.11,73.78,76.53,79.32,82.16,85.04,87.94,90.87,93.82,96.77,99.73,102.67,105.6,108.51,111.42,114.32,117.21,120.1,122.99,125.9
9.73,10.29,10.77,11.21,11.63,12.02,12.38,12.71,13.02,13.32,13.62,13.93,14.26,14.64,15.07,15.56,16.13,16.76,17.44,18.19,18.97,19.78,20.6,21.44,22.29,23.16,24.08,25.05,26.07,27.14,28.27,29.44,30.66,31.94,33.26,34.62,36.03,37.48,38.98,40.54,42.16,43.84,45.58,47.4,49.3,51.27,53.32,55.46,57.68,59.99,62.39,64.88,67.45,70.12,72.87,75.71,78.63,81.62,84.7,87.84,91.05,94.32,97.63,101,104.39,107.81,111.24,114.68,118.12,121.56,124.97,128.35,131.72,135.06,138.4,141.72,145.03,148.35,151.71
