15.87,15.87,16.33,16.33
16.19,16.19,16.69,16.69
16.51,16.51,17.05,17.05
16.83,16.83,17.41,17.41
17.15,17.15,17.77,17.77
17.47,17.47,18.13,18.13
17.79,17.79,18.49,18.49
18.11,18.11,18.85,18.85
18.43,18.43,19.21,19.21
18.75,18.75,19.57,19.57
19.10,19.10,19.93,19.93
19.63,19.63,20.50,20.50
20.16,20.16,21.07,21.07
20.69,20.69,21.64,21.64
21.22,21.22,22.21,22.21
21.75,21.75,22.78,22.78
22.28,22.28,23.35,23.35
22.81,22.81,23.92,23.92
23.34,23.34,24.49,24.52
23.87,23.87,25.06,25.12
24.44,24.44,25.66,25.93
25.13,25.22,26.35,26.72
25.82,26.00,27.04,27.51
26.51,26.78,27.73,28.30
27.20,27.56,28.42,29.09
27.89,28.34,29.11,29.88
28.58,29.12,29.80,30.67
29.27,29.90,30.49,31.46
29.96,30.68,31.18,32.25
30.65,31.46,31.87,33.04
31.35,32.22,32.53,33.87
32.25,33.20,33.44,34.90
33.18,34.23,34.39,35.99
34.14,35.30,35.37,37.13
35.12,36.40,36.38,38.31
35.83,37.14,37.06,39.00
36.90,38.36,38.18,40.34
37.97,39.58,39.30,41.68
39.04,40.80,40.42,43.02
40.11,42.02,41.54,44.36
41.19,43.22,42.66,45.70
42.33,44.60,43.88,47.37
43.47,45.98,45.10,49.04
44.61,47.36,46.32,50.71
45.75,48.74,47.54,52.38
46.88,50.13,48.74,54.03
48.17,51.64,50.13,55.95
49.46,53.15,51.52,57.87
50.75,54.66,52.91,59.79
52.04,56.17,54.30,61.71
53.33,57.67,55.68,63.64
54.96,59.57,57.41,66.06
56.59,61.47,59.14,68.48
58.22,63.37,60.87,70.90
59.85,65.27,62.60,73.32
61.49,67.18,64.33,75.76
63.17,69.25,66.12,78.43
64.85,71.32,67.91,81.10
66.53,73.39,69.70,83.77
68.21,75.46,71.49,86.44
69.90,77.54,73.26,89.10
72.10,80.36,75.58,92.59
74.30,83.18,77.90,96.08
76.50,86.00,80.22,99.57
78.70,88.82,82.54,103.06
80.89,91.65,84.86,106.57
84.20,95.66,88.22,111.43
87.51,99.67,91.58,116.29
90.82,103.68,94.94,121.15
94.13,107.69,98.30,126.01
97.44,111.70,101.68,130.89
100.00,114.69,103.94,132.03
102.56,117.68,106.20,133.17
105.12,120.67,108.46,134.31
107.68,123.66,110.72,135.45
110.24,126.65,112.98,136.59
112.80,129.64,115.24,137.73
115.36,132.63,117.50,138.87
117.92,135.62,119.76,140.01
120.48,138.61,122.02,141.15
123.02,141.63,124.27,142.25
137.83,158.68,139.66,159.38
152.64,175.73,155.05,176.51
167.45,192.78,170.44,193.64
182.26,209.83,185.83,210.77
197.08,226.90,201.23,227.89
