0.37,0.39,0.41,0.43,0.44,0.46,0.48,0.49,0.51,0.53,0.55,0.56,0.58,0.6,0.62,0.64,0.65,0.68,0.7,0.72,0.75,0.77,0.8,0.83,0.85,0.88,0.91,0.94,0.97,1,1.04,1.07,1.11,1.14,1.18,1.22,1.26,1.3,1.34,1.38,1.42,1.47,1.52,1.56,1.61,1.66,1.71,1.77,1.82,1.88,1.94,1.99,2.05,2.12,2.18,2.24,2.31,2.37,2.44,2.51,2.58,2.65,2.72,2.79,2.87,2.94,3.01,3.09,3.16,3.24,3.32,3.39,3.47,3.54,3.62,3.7,3.77,3.85,3.93,4.01,4.09,4.02,4.02,4.04
1.22,1.29,1.35,1.4,1.45,1.5,1.55,1.6,1.66,1.72,1.78,1.84,1.89,1.95,2.01,2.07,2.13,2.2,2.27,2.35,2.43,2.51,2.6,2.69,2.78,2.87,2.97,3.06,3.16,3.26,3.37,3.48,3.6,3.71,3.83,3.96,4.09,4.22,4.35,4.49,4.63,4.78,4.93,5.08,5.24,5.4,5.57,5.74,5.92,6.1,6.28,6.47,6.67,6.86,7.07,7.27,7.48,7.69,7.91,8.13,8.35,8.57,8.8,9.02,9.25,9.48,9.71,9.95,10.18,10.41,10.64,10.87,11.1,11.33,11.55,11.78,12,12.22,12.44,12.65,12.87,12.78,12.82,12.85
2.59,2.72,2.83,2.94,3.04,3.15,3.26,3.37,3.49,3.61,3.73,3.85,3.97,4.09,4.21,4.34,4.47,4.62,4.77,4.93,5.1,5.28,5.46,5.64,5.83,6.02,6.22,6.42,6.63,6.85,7.07,7.3,7.54,7.79,8.04,8.3,8.57,8.84,9.12,9.41,9.7,10.01,10.32,10.65,10.98,11.32,11.67,12.03,12.4,12.77,13.16,13.55,13.96,14.37,14.79,15.21,15.65,16.08,16.53,16.98,17.44,17.9,18.36,18.83,19.29,19.76,20.23,20.7,21.17,21.64,22.1,22.56,23.01,23.45,23.89,24.32,24.74,25.15,25.56,25.96,26.35,26.29,26.36,26.42
4.2,4.38,4.55,4.72,4.88,5.05,5.23,5.41,5.59,5.78,5.97,6.16,6.35,6.54,6.75,6.96,7.17,7.41,7.66,7.91,8.18,8.46,8.75,9.05,9.35,9.65,9.97,10.29,10.62,10.97,11.33,11.7,12.08,12.48,12.88,13.3,13.72,14.16,14.6,15.06,15.54,16.03,16.53,17.05,17.58,18.12,18.68,19.26,19.85,20.45,21.06,21.69,22.33,22.99,23.65,24.33,25.01,25.71,26.42,27.13,27.85,28.57,29.3,30.03,30.77,31.5,32.24,32.97,33.69,34.41,35.12,35.81,36.5,37.17,37.82,38.46,39.09,39.69,40.27,40.84,41.39,41.4,41.52,41.6
6.61,6.88,7.14,7.39,7.65,7.91,8.19,8.47,8.76,9.05,9.34,9.63,9.93,10.24,10.56,10.9,11.23,11.6,11.99,12.4,12.82,13.25,13.7,14.16,14.62,15.1,15.59,16.1,16.62,17.17,17.73,18.31,18.9,19.52,20.15,20.8,21.46,22.14,22.84,23.56,24.3,25.06,25.85,26.66,27.49,28.34,29.21,30.11,31.02,31.96,32.92,33.9,34.89,35.91,36.94,37.99,39.06,40.13,41.23,42.33,43.44,44.56,45.68,46.81,47.93,49.06,50.18,51.29,52.39,53.48,54.54,55.59,56.61,57.61,58.58,59.52,60.43,61.3,62.14,62.94,63.71,63.84,64.04,64.15
9.63,10,10.36,10.73,11.1,11.49,11.88,12.28,12.69,13.11,13.53,13.95,14.39,14.84,15.31,15.8,16.29,16.83,17.4,17.99,18.6,19.22,19.87,20.52,21.19,21.88,22.6,23.33,24.1,24.88,25.7,26.54,27.4,28.29,29.2,30.13,31.09,32.08,33.09,34.13,35.21,36.31,37.45,38.62,39.82,41.05,42.31,43.6,44.93,46.28,47.66,49.07,50.51,51.97,53.46,54.97,56.5,58.05,59.62,61.2,62.79,64.39,65.99,67.6,69.2,70.8,72.39,73.96,75.52,77.05,78.55,80.02,81.45,82.84,84.18,85.48,86.72,87.91,89.04,90.12,91.13,91.46,91.79,91.98
13.29,13.78,14.27,14.77,15.28,15.8,16.34,16.88,17.44,18,18.58,19.16,19.77,20.4,21.05,21.74,22.41,23.16,23.94,24.74,25.57,26.42,27.3,28.19,29.12,30.07,31.05,32.07,33.12,34.2,35.32,36.47,37.65,38.87,40.11,41.39,42.71,44.06,45.46,46.89,48.36,49.88,51.44,53.04,54.69,56.38,58.11,59.88,61.69,63.54,65.43,67.36,69.32,71.32,73.35,75.41,77.5,79.61,81.75,83.9,86.06,88.23,90.41,92.59,94.76,96.93,99.07,101.2,103.29,105.35,107.37,109.34,111.25,113.11,114.9,116.63,118.27,119.85,121.33,122.74,124.06,124.73,125.32,125.69
16.91,17.51,18.13,18.75,19.4,20.06,20.73,21.41,22.11,22.82,23.55,24.3,25.08,25.88,26.72,27.59,28.45,29.4,30.39,31.41,32.45,33.52,34.63,35.76,36.94,38.14,39.39,40.68,42.01,43.38,44.8,46.26,47.75,49.28,50.86,52.49,54.15,55.87,57.64,59.46,61.32,63.25,65.22,67.25,69.34,71.47,73.66,75.9,78.19,80.52,82.91,85.35,87.83,90.35,92.91,95.51,98.14,100.8,103.48,106.19,108.91,111.64,114.37,117.11,119.84,122.55,125.23,127.9,130.52,133.1,135.62,138.09,140.49,142.82,145.07,147.23,149.31,151.28,153.16,154.94,156.61,157.81,158.86,159.65
21.84,22.6,23.38,24.18,25,25.84,26.7,27.56,28.46,29.37,30.32,31.3,32.3,33.35,34.43,35.56,36.68,37.9,39.17,40.46,41.8,43.17,44.59,46.05,47.57,49.13,50.74,52.4,54.11,55.87,57.69,59.56,61.48,63.45,65.48,67.57,69.71,71.93,74.2,76.54,78.95,81.42,83.96,86.57,89.24,91.99,94.8,97.67,100.61,103.61,106.67,109.79,112.97,116.21,119.49,122.81,126.18,129.59,133.02,136.48,139.97,143.46,146.96,150.46,153.95,157.41,160.86,164.27,167.63,170.94,174.2,177.38,180.49,183.51,186.44,189.28,192.01,194.64,197.16,199.57,201.87,204.07,206.07,207.8
27.5,28.44,29.41,30.4,31.42,32.46,33.53,34.61,35.74,36.89,38.09,39.32,40.59,41.91,43.29,44.72,46.13,47.66,49.24,50.85,52.52,54.24,56.03,57.86,59.77,61.72,63.75,65.83,67.99,70.2,72.47,74.81,77.21,79.69,82.24,84.86,87.56,90.34,93.19,96.13,99.15,102.26,105.44,108.71,112.07,115.5,119.02,122.63,126.31,130.06,133.9,137.81,141.78,145.83,149.93,154.1,158.31,162.57,166.87,171.2,175.56,179.93,184.32,188.7,193.08,197.44,201.78,206.08,210.34,214.54,218.69,222.77,226.77,230.7,234.53,238.28,241.94,245.51,248.99,252.4,255.73,259.69,263.5,267.19
35.07,36.27,37.5,38.75,40.04,41.35,42.7,44.08,45.51,46.98,48.51,50.08,51.71,53.4,55.17,56.99,58.79,60.74,62.74,64.79,66.92,69.11,71.39,73.73,76.15,78.65,81.22,83.88,86.61,89.42,92.3,95.27,98.33,101.48,104.71,108.04,111.47,115,118.63,122.36,126.19,130.12,134.17,138.31,142.56,146.9,151.35,155.91,160.55,165.29,170.13,175.05,180.05,185.13,190.29,195.5,200.78,206.1,211.47,216.87,222.29,227.73,233.17,238.6,244,249.38,254.72,260,265.22,270.36,275.42,280.39,285.26,290.02,294.67,299.2,303.62,307.93,312.13,316.24,320.28,324.98,329.53,334
43.13,44.59,46.09,47.61,49.18,50.78,52.43,54.13,55.88,57.69,59.57,61.51,63.52,65.62,67.79,70.03,72.25,74.63,77.08,79.6,82.21,84.91,87.7,90.58,93.55,96.62,99.78,103.03,106.37,109.81,113.33,116.97,120.71,124.57,128.53,132.61,136.81,141.13,145.57,150.13,154.82,159.63,164.56,169.62,174.8,180.1,185.52,191.06,196.71,202.47,208.33,214.3,220.36,226.5,232.72,239.02,245.37,251.78,258.22,264.7,271.19,277.68,284.16,290.63,297.05,303.43,309.74,315.98,322.13,328.18,334.11,339.93,345.62,351.18,356.59,361.87,367,372.01,376.91,381.71,386.46,391.88,397.19,402.5
51.68,53.42,55.19,57,58.86,60.78,62.75,64.78,66.88,69.05,71.3,73.64,76.07,78.58,81.18,83.85,86.51,89.35,92.29,95.3,98.44,101.67,105.01,108.45,112.01,115.67,119.44,123.32,127.31,131.4,135.61,139.96,144.42,149.02,153.75,158.62,163.63,168.78,174.07,179.51,185.09,190.81,196.68,202.69,208.84,215.13,221.56,228.12,234.81,241.61,248.54,255.58,262.72,269.95,277.26,284.64,292.08,299.57,307.1,314.65,322.2,329.74,337.25,344.73,352.14,359.49,366.75,373.9,380.94,387.86,394.63,401.25,407.71,414.02,420.15,426.13,431.95,437.63,443.21,448.71,454.22,460.37,466.53,472.91
60.75,62.76,64.82,66.94,69.12,71.37,73.68,76.07,78.54,81.1,83.76,86.52,89.38,92.33,95.37,98.48,101.63,104.96,108.4,111.96,115.64,119.44,123.36,127.4,131.57,135.86,140.27,144.8,149.46,154.26,159.19,164.27,169.5,174.89,180.43,186.13,191.99,198.01,204.19,210.54,217.06,223.73,230.57,237.57,244.74,252.05,259.52,267.13,274.88,282.77,290.78,298.91,307.14,315.47,323.88,332.36,340.89,349.47,358.06,366.67,375.26,383.83,392.35,400.81,409.19,417.46,425.62,433.65,441.54,449.26,456.82,464.19,471.38,478.38,485.19,491.83,498.31,504.66,510.93,517.19,523.56,530.56,537.82,546.15
70.34,72.65,75.02,77.47,79.98,82.58,85.25,88.02,90.89,93.87,96.96,100.17,103.48,106.88,110.37,113.95,117.63,121.49,125.48,129.6,133.86,138.25,142.78,147.46,152.27,157.21,162.29,167.51,172.89,178.42,184.11,189.98,196.01,202.22,208.61,215.18,221.93,228.86,235.98,243.28,250.77,258.43,266.28,274.31,282.51,290.89,299.42,308.11,316.95,325.94,335.05,344.29,353.63,363.06,372.57,382.14,391.76,401.4,411.06,420.7,430.31,439.88,449.37,458.77,468.06,477.22,486.23,495.08,503.75,512.23,520.51,528.58,536.44,544.09,551.54,558.81,565.94,572.97,579.99,587.13,594.6,602.72,612.07,623.58
80.47,83.1,85.81,88.6,91.47,94.43,97.5,100.68,103.97,107.41,110.96,114.63,118.39,122.26,126.22,130.3,134.58,139,143.56,148.27,153.14,158.16,163.34,168.67,174.14,179.77,185.55,191.51,197.64,203.94,210.44,217.12,224,231.08,238.35,245.83,253.51,261.39,269.48,277.77,286.27,294.96,303.85,312.94,322.21,331.67,341.29,351.09,361.04,371.14,381.36,391.71,402.16,412.69,423.3,433.95,444.63,455.33,466.01,476.66,487.25,497.76,508.17,518.46,528.61,538.59,548.39,558,567.39,576.56,585.5,594.21,602.68,610.94,618.99,626.88,634.67,642.45,650.36,658.63,667.63,677.98,690.73,707.76
91.18,94.15,97.21,100.36,103.62,106.98,110.46,114.08,117.85,121.75,125.77,129.91,134.14,138.49,142.97,147.66,152.51,157.52,162.69,168.03,173.54,179.22,185.06,191.07,197.25,203.59,210.12,216.85,223.77,230.89,238.23,245.78,253.54,261.53,269.73,278.16,286.81,295.68,304.78,314.1,323.64,333.39,343.36,353.54,363.91,374.48,385.22,396.14,407.22,418.44,429.79,441.26,452.82,464.45,476.14,487.86,499.6,511.31,523,534.62,546.15,557.58,568.87,580,590.95,601.71,612.25,622.56,632.62,642.43,651.98,661.28,670.33,679.17,687.83,696.38,704.91,713.59,722.66,732.54,743.9,757.89,776.57,1000
102.49,105.83,109.25,112.8,116.46,120.25,124.19,128.29,132.54,136.92,141.42,146.03,150.76,155.64,160.74,166.02,171.47,177.11,182.92,188.91,195.1,201.46,208.01,214.72,221.63,228.74,236.07,243.59,251.35,259.34,267.55,276.01,284.7,293.63,302.8,312.22,321.88,331.78,341.93,352.31,362.93,373.79,384.86,396.16,407.66,419.35,431.24,443.3,455.52,467.88,480.36,492.94,505.61,518.33,531.09,543.86,556.62,569.34,581.99,594.55,606.98,619.27,631.39,643.32,655.03,666.5,677.72,688.67,699.35,709.75,719.87,729.73,739.35,748.78,758.08,767.37,776.82,786.7,797.45,809.81,825.04,845.38,1000,1000
114.44,118.15,121.98,125.94,130.04,134.3,138.73,143.32,148.06,152.93,157.92,163.04,168.31,173.83,179.53,185.43,191.52,197.81,204.29,210.98,217.86,224.94,232.2,239.67,247.36,255.28,263.42,271.81,280.45,289.33,298.47,307.87,317.53,327.45,337.63,348.08,358.79,369.76,380.99,392.47,404.21,416.19,428.4,440.84,453.49,466.34,479.38,492.6,505.96,519.46,533.06,546.76,560.52,574.32,588.13,601.93,615.68,629.36,642.94,656.39,669.68,682.79,695.68,708.34,720.75,732.88,744.73,756.28,767.52,778.46,789.13,799.53,809.72,819.78,829.83,840.05,850.73,862.36,875.73,892.19,914.19,1000,1000,1000
