16.17,16.17,16.63,16.63
16.50,16.50,17.00,17.00
16.83,16.83,17.37,17.37
17.16,17.16,17.74,17.74
17.49,17.49,18.11,18.11
17.82,17.82,18.48,18.48
18.15,18.15,18.85,18.85
18.48,18.48,19.22,19.22
18.81,18.81,19.59,19.59
19.14,19.14,19.96,19.96
19.47,19.47,20.31,20.31
20.02,20.02,20.90,20.90
20.57,20.57,21.49,21.49
21.12,21.12,22.08,22.08
21.67,21.67,22.67,22.67
22.22,22.22,23.26,23.26
22.77,22.77,23.85,23.85
23.32,23.32,24.44,24.44
23.87,23.87,25.03,25.05
24.42,24.42,25.62,25.66
24.94,24.94,26.16,26.41
25.64,25.73,26.86,27.22
26.34,26.52,27.56,28.03
27.04,27.31,28.26,28.84
27.74,28.10,28.96,29.65
28.44,28.89,29.66,30.46
29.14,29.68,30.36,31.27
29.84,30.47,31.06,32.08
30.54,31.26,31.76,32.89
31.24,32.05,32.46,33.70
31.98,32.85,33.17,34.53
32.89,33.86,34.09,35.58
33.84,34.91,35.06,36.69
34.82,36.00,36.06,37.85
35.82,37.12,37.09,39.06
36.54,37.89,37.79,39.77
37.63,39.13,38.93,41.14
38.72,40.37,40.07,42.51
39.81,41.61,41.21,43.88
40.90,42.85,42.35,45.25
42.01,44.09,43.51,46.64
43.17,45.50,44.75,48.33
44.33,46.91,45.99,50.02
45.49,48.32,47.23,51.71
46.65,49.73,48.47,53.40
47.81,51.13,49.72,55.10
49.13,52.67,51.13,57.06
50.45,54.21,52.54,59.02
51.77,55.75,53.95,60.98
53.09,57.29,55.36,62.94
54.40,58.84,56.78,64.91
56.00,60.71,58.48,67.31
57.60,62.58,60.18,69.71
59.20,64.45,61.88,72.11
60.80,66.32,63.58,74.51
62.41,68.17,65.28,76.90
64.04,70.20,67.02,79.52
65.67,72.23,68.76,82.14
67.30,74.26,70.50,84.76
68.93,76.29,72.24,87.38
70.58,78.31,73.99,89.99
72.80,81.16,76.33,93.52
75.02,84.01,78.67,97.05
77.24,86.86,81.01,100.58
79.46,89.71,83.35,104.11
81.69,92.55,85.69,107.62
85.03,96.61,89.09,112.53
88.37,100.67,92.49,117.44
91.71,104.73,95.89,122.35
95.05,108.79,99.29,127.26
98.40,112.85,102.68,132.19
100.99,116.17,104.96,133.64
103.58,119.49,107.24,135.09
106.17,122.81,109.52,136.54
108.76,126.13,111.80,137.99
111.35,129.45,114.08,139.44
113.94,132.77,116.36,140.89
116.53,136.09,118.64,142.34
119.12,139.41,120.92,143.79
121.71,142.73,123.20,145.24
124.25,146.07,125.51,146.66
139.21,162.69,141.06,163.36
154.17,179.31,156.61,180.06
169.13,195.93,172.16,196.76
184.09,212.55,187.71,213.46
199.06,229.17,203.24,230.17
