54.82,56.54,58.38,60.34,62.38,64.49,66.68,68.93,71.29,73.72,76.24,78.84,81.52,84.26,87.08,89.97,92.78,95.85,124.54,128.65,132.89,137.29,141.85,146.56,151.44,156.48,161.67,167,172.49,178.13,183.93,189.89,196.05,202.37,208.87,215.55,222.4,229.42,236.62,243.99,251.52,259.22,267.11,275.18,283.42,291.85,300.47,309.26,318.25,327.42,336.76,346.28,355.97,365.84,375.86,386.06,396.4,406.89,417.52,428.29,439.19,450.21,461.35,472.59,483.93,495.36,506.88,518.48,530.15,541.89,553.69,565.53,577.42,589.33,601.27,613.24,625.23,637.24,649.29,661.37,673.5,691.43,708.86,725.89,742.57,758.92
56.54,58.38,60.34,62.38,64.49,66.68,68.95,71.29,73.73,76.25,78.86,81.54,84.3,87.12,90.01,92.99,95.9,99.08,128.74,132.99,137.41,141.97,146.69,151.59,156.64,161.85,167.2,172.7,178.36,184.18,190.18,196.35,202.71,209.23,215.94,222.83,229.9,237.13,244.56,252.14,259.89,267.82,275.95,284.25,292.74,301.43,310.29,319.35,328.6,338.03,347.64,357.43,367.39,377.53,387.83,398.29,408.91,419.68,430.58,441.63,452.79,464.08,475.49,486.99,498.59,510.28,522.05,533.9,545.81,557.79,569.81,581.87,593.95,606.06,618.2,630.35,642.52,654.7,666.91,679.15,691.43,708.86,725.89,742.57,758.92,774.95
58.38,60.34,62.38,64.49,66.68,68.95,71.31,73.74,76.27,78.87,81.56,84.32,87.15,90.04,93.03,96.11,99.13,102.42,133.09,137.5,142.08,146.81,151.71,156.77,162,167.37,172.89,178.56,184.41,190.42,196.62,202.99,209.55,216.28,223.21,230.32,237.6,245.04,252.67,260.47,268.44,276.61,284.96,293.51,302.25,311.19,320.31,329.62,339.13,348.82,358.69,368.75,378.98,389.38,399.95,410.68,421.56,432.58,443.75,455.06,466.47,478.01,489.67,501.41,513.26,525.18,537.18,549.25,561.38,573.55,585.77,598.01,610.27,622.55,634.84,647.14,659.45,671.77,684.1,696.46,708.86,725.89,742.57,758.92,774.95,790.7
60.34,62.38,64.49,66.68,68.95,71.31,73.76,76.27,78.89,81.58,84.34,87.17,90.08,93.06,96.15,99.34,102.47,105.89,137.59,142.17,146.91,151.82,156.89,162.13,167.52,173.05,178.73,184.59,190.63,196.84,203.24,209.81,216.59,223.53,230.68,237.99,245.48,253.13,260.97,268.99,277.2,285.59,294.19,302.97,311.96,321.15,330.53,340.09,349.86,359.81,369.94,380.25,390.74,401.41,412.23,423.21,434.35,445.63,457.04,468.59,480.25,492.03,503.91,515.88,527.94,540.08,552.29,564.56,576.87,589.22,601.6,614,626.41,638.83,651.25,663.68,676.1,688.52,700.95,713.41,725.89,742.57,758.92,774.95,790.7,806.17
62.38,64.49,66.68,68.95,71.31,73.76,76.29,78.89,81.59,84.36,87.2,90.1,93.1,96.19,99.38,102.67,105.93,109.48,142.25,147,151.91,157,162.24,167.64,173.19,178.89,184.75,190.8,197.04,203.46,210.06,216.84,223.82,230.99,238.34,245.85,253.54,261.4,269.46,277.71,286.14,294.77,303.61,312.64,321.88,331.32,340.94,350.76,360.78,370.98,381.37,391.94,402.67,413.59,424.66,435.89,447.27,458.79,470.45,482.22,494.11,506.11,518.2,530.39,542.65,554.98,567.37,579.81,592.29,604.79,617.32,629.85,642.38,654.92,667.44,679.96,692.48,704.98,717.49,730.01,742.57,758.92,774.95,790.7,806.17,821.43
64.49,66.68,68.95,71.31,73.76,76.29,78.92,81.6,84.37,87.21,90.13,93.13,96.22,99.41,102.72,106.13,109.52,113.19,147.07,152,157.08,162.34,167.74,173.3,179.02,184.9,190.95,197.21,203.65,210.27,217.07,224.07,231.26,238.63,246.18,253.89,261.78,269.87,278.16,286.62,295.29,304.16,313.24,322.52,332,341.68,351.55,361.62,371.89,382.34,392.98,403.79,414.78,425.94,437.25,448.72,460.33,472.07,483.95,495.95,508.04,520.24,532.54,544.91,557.35,569.86,582.41,595,607.62,620.25,632.9,645.54,658.18,670.8,683.41,696.01,708.58,721.15,733.72,746.3,758.92,774.95,790.7,806.17,821.43,836.52
66.68,68.95,71.31,73.76,76.3,78.92,81.62,84.38,87.23,90.14,93.15,96.25,99.45,102.75,106.17,109.71,113.23,117.05,152.07,157.17,162.42,167.83,173.4,179.12,185.02,191.09,197.35,203.8,210.44,217.27,224.29,231.49,238.89,246.46,254.2,262.12,270.23,278.53,287.04,295.74,304.64,313.75,323.07,332.59,342.32,352.24,362.36,372.67,383.19,393.88,404.76,415.82,427.04,438.43,449.97,461.67,473.5,485.46,497.54,509.74,522.03,534.42,546.89,559.44,572.04,584.7,597.39,610.11,622.84,635.59,648.33,661.06,673.78,686.47,699.15,711.79,724.42,737.04,749.65,762.28,774.95,790.7,806.17,821.43,836.52,851.53
68.95,71.31,73.76,76.3,78.92,81.62,84.4,87.23,90.16,93.17,96.27,99.47,102.78,106.2,109.74,113.41,117.08,121.04,157.24,162.5,167.91,173.48,179.21,185.11,191.2,197.47,203.93,210.58,217.43,224.47,231.7,239.1,246.69,254.46,262.4,270.53,278.87,287.39,296.12,305.06,314.19,323.54,333.1,342.86,352.83,362.99,373.35,383.9,394.66,405.59,416.7,427.99,439.44,451.06,462.81,474.72,486.76,498.92,511.2,523.58,536.05,548.61,561.24,573.94,586.69,599.47,612.28,625.11,637.94,650.77,663.59,676.39,689.17,701.91,714.63,727.32,739.98,752.63,765.28,777.95,790.7,806.17,821.43,836.52,851.53,866.6
71.31,73.76,76.3,78.92,81.62,84.4,87.26,90.17,93.18,96.29,99.5,102.8,106.23,109.77,113.44,117.25,121.07,125.17,162.56,167.99,173.55,179.29,185.2,191.29,197.58,204.05,210.7,217.56,224.62,231.86,239.3,246.89,254.68,262.64,270.79,279.14,287.69,296.43,305.4,314.57,323.94,333.53,343.32,353.32,363.52,373.92,384.52,395.31,406.29,417.45,428.79,440.3,451.97,463.79,475.76,487.87,500.1,512.45,524.9,537.45,550.08,562.79,575.57,588.39,601.26,614.15,627.05,639.97,652.88,665.78,678.65,691.5,704.32,717.1,729.85,742.56,755.25,767.93,780.62,793.35,806.17,821.43,836.52,851.53,866.6,881.92
73.76,76.3,78.92,81.62,84.41,87.26,90.19,93.19,96.3,99.51,102.83,106.25,109.79,113.46,117.27,121.22,125.2,129.43,168.04,173.62,179.35,185.27,191.36,197.65,204.14,210.81,217.67,224.74,232,239.44,247.06,254.86,262.83,271.01,279.37,287.93,296.7,305.68,314.87,324.28,333.88,343.7,353.73,363.96,374.39,385.03,395.86,406.87,418.08,429.46,441.01,452.73,464.6,476.63,488.79,501.08,513.49,526,538.62,551.32,564.1,576.94,589.83,602.76,615.73,628.7,641.69,654.67,667.63,680.58,693.5,706.38,719.22,732.03,744.79,757.52,770.23,782.94,795.67,808.48,821.43,836.52,851.53,866.6,881.92,897.79
